x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.0038854,-1.38919e-07,0.5,0,0.00452862,-1.83991e-07,0.00064322,0.00064322,0.00064322
0.0038854,-1.38919e-07,0.5,0,0.00452862,-1.83991e-07,0.00064322,0.00128644,0.00128644
0.0176879,-1.6149e-06,0.5,0,0.0190285,-1.8089e-06,0.0013406,0.00262704,0.00262704
0.0359278,-4.87362e-06,0.5,0,0.0435285,-6.54345e-06,0.00760071,0.0102278,0.0102278
0.0752879,-1.52281e-05,0.5,0,0.0788208,-1.63049e-05,0.00353286,0.0137606,0.0137606
0.119088,-3.06983e-05,0.5,0,0.122529,-3.20087e-05,0.00344109,0.0172017,0.0172017
0.168998,-5.10656e-05,0.5,0,0.172996,-5.26558e-05,0.00399803,0.0211997,0.0211997
0.208996,-6.74383e-05,0.5,0,0.222497,-7.2915e-05,0.0135003,0.0347001,0.0347001
0.268995,-9.19941e-05,0.5,0,0.272497,-9.33743e-05,0.00350136,0.0382014,0.0382014
0.298995,-0.000104271,0.5,0,0.322497,-0.000113834,0.0235014,0.0617029,0.0617029
0.368995,-0.000132912,0.5,0,0.372497,-0.000134289,0.00350153,0.0652044,0.0652044
0.408995,-0.000149276,0.5,0,0.422497,-0.000154742,0.0135016,0.078706,0.078706
0.468995,-0.000173819,0.5,0,0.472997,-0.000175396,0.00400177,0.0827078,0.0827078
0.508995,-0.000190179,0.5,0,0.522997,-0.000195844,0.0140018,0.0967096,0.0967096
0.548995,-0.000206537,0.5,0,0.572497,-0.000216084,0.023502,0.120212,0.120212
0.608995,-0.000231071,0.5,0,0.622497,-0.000236526,0.0135021,0.133714,0.133714
0.668994,-0.000255602,0.5,0,0.672997,-0.00025717,0.00400221,0.137716,0.137716
0.718994,-0.000276041,0.5,0,0.722497,-0.000277402,0.00350225,0.141218,0.141218
0.758994,-0.00029239,0.5,0,0.772497,-0.000297836,0.0135024,0.154721,0.154721
0.798994,-0.000308738,0.5,0,0.822497,-0.000318268,0.0235025,0.178223,0.178223
0.868994,-0.000337342,0.5,0,0.872496,-0.000338696,0.00350261,0.181726,0.181726
0.898994,-0.000349599,0.5,0,0.922496,-0.000359122,0.0235026,0.205228,0.205228
0.968994,-0.000378196,0.5,0,0.972496,-0.000379546,0.00350285,0.208731,0.208731
1.00899,-0.000394534,0.5,0,1.022,-0.000399762,0.013003,0.221734,0.221734
1.06899,-0.000419039,0.5,0,1.0725,-0.000420385,0.00350308,0.225237,0.225237
1.11899,-0.000439456,0.5,0,1.1225,-0.0004408,0.0035032,0.22874,0.22874
1.15899,-0.000455788,0.5,0,1.1725,-0.000461212,0.0135033,0.242244,0.242244
1.21899,-0.000480283,0.5,0,1.223,-0.000481827,0.00400341,0.246247,0.246247
1.25899,-0.000496611,0.5,0,1.2725,-0.00050203,0.0135034,0.259751,0.259751
1.31899,-0.0005211,0.5,0,1.3225,-0.000522434,0.00350356,0.263254,0.263254
1.34899,-0.000533343,0.5,0,1.3735,-0.000543245,0.0245037,0.287758,0.287758
1.40899,-0.000557826,0.5,0,1.423,-0.00056344,0.0140038,0.301762,0.301762
1.45899,-0.000578225,0.5,0,1.473,-0.000583837,0.014004,0.315766,0.315766
1.50899,-0.000598622,0.5,0,1.5225,-0.000604027,0.0135039,0.329269,0.329269
1.54899,-0.000614937,0.5,0,1.5725,-0.000624418,0.0235041,0.352774,0.352774
1.59899,-0.000635329,0.5,0,1.6225,-0.000644807,0.0235041,0.376278,0.376278
1.64899,-0.000655719,0.5,0,1.673,-0.000665396,0.0240042,0.400282,0.400282
1.70899,-0.000680182,0.5,0,1.723,-0.00068578,0.0140045,0.414286,0.414286
1.75899,-0.000700566,0.5,0,1.7725,-0.000705956,0.0135045,0.427791,0.427791
1.81899,-0.000725022,0.5,0,1.8225,-0.000726334,0.00350463,0.431296,0.431296
1.85899,-0.000741324,0.5,0,1.8725,-0.00074671,0.0135047,0.4448,0.4448
1.91855,-0.000765512,0,0,1.92231,-0.00076687,0.0037595,0.44856,0.44856
1.95314,-0.000777905,0,0,1.96336,-0.000781022,0.0102276,0.458787,0.458787
1.98734,-0.000787626,0,0,1.99486,-0.000789288,0.00752497,0.466312,0.466312
2.0075,-0.00079184,0,0,2.01636,-0.000793164,0.00886416,0.475177,0.475177
2.0237,-0.000794056,0,0,2.02786,-0.000794313,0.00416398,0.47934,0.47934
2.03,-0.000794432,0,0,2.03001,-0.000794389,1.09673e-05,0.479351,0.479351
2.02999,-0.000794432,0,0,2.02999,-0.000794387,1.43051e-06,0.479353,0.479353
2.02999,-0.000794432,0,0,2.02999,-0.000794389,5.00679e-06,0.479358,0.479358
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.52995e-06,0.479362,0.479362
2.02999,-0.000794432,0,0,2.02999,-0.000794388,4.52995e-06,0.479367,0.479367
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.52995e-06,0.479371,0.479371
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.29153e-06,0.479376,0.479376
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.29153e-06,0.47938,0.47938
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.29153e-06,0.479384,0.479384
2.02999,-0.000794432,0,0,2.02999,-0.000794387,4.52995e-06,0.479389,0.479389
2.02999,-0.000794432,0,0.5,2.02999,-0.000794251,1.90735e-06,0.479391,0.479391
2.02999,-0.000794389,0,0.5,2.02996,-0.000794484,3.0756e-05,0.479422,0.479422
2.03001,-0.000793859,0,0.5,2.02992,-0.000794948,9.29832e-05,0.479515,0.479515
2.03005,-0.000791395,0,0.5,2.02988,-0.000794569,0.000170946,0.479685,0.479685
2.03011,-0.000784714,0,0.5,2.02983,-0.000794559,0.000278473,0.479964,0.479964
2.03015,-0.00077865,0,0.5,2.02977,-0.000797792,0.000379086,0.480343,0.480343
2.03016,-0.000775316,0,0.5,2.02969,-0.000805042,0.000469923,0.480813,0.480813
2.03017,-0.000773626,0,0.5,2.02961,-0.000816245,0.000558138,0.481371,0.481371
2.03017,-0.000772602,0,0.5,2.02953,-0.000831222,0.000645638,0.482017,0.482017
2.03017,-0.000771941,0,0.5,2.02944,-0.000849909,0.000730991,0.482748,0.482748
2.03017,-0.000771891,0,0.5,2.02936,-0.000872304,0.000813723,0.483561,0.483561
2.03017,-0.000772256,0,0.5,2.02928,-0.000898472,0.000893354,0.484455,0.484455
2.03017,-0.000772799,0,0.5,2.0292,-0.000928519,0.000970125,0.485425,0.485425
2.03017,-0.000773648,0,0.5,2.02913,-0.000962913,0.00104427,0.486469,0.486469
2.03017,-0.0007743,0,0.5,2.02905,-0.00100108,0.00111461,0.487584,0.487584
2.03017,-0.000775372,0,0.5,2.02899,-0.00104299,0.00118041,0.488764,0.488764
2.03017,-0.000775941,0,0.5,2.02892,-0.00109002,0.00124383,0.490008,0.490008
2.03017,-0.000776723,0,0.5,2.02886,-0.00114035,0.00130224,0.49131,0.49131
2.03016,-0.000777931,0,0.5,2.02881,-0.00119541,0.00135708,0.492667,0.492667
2.03016,-0.000779446,0,0.5,2.02876,-0.00125468,0.00140762,0.494075,0.494075
2.03016,-0.000780281,0,0.5,2.02871,-0.00131806,0.00145483,0.49553,0.49553
2.03016,-0.000781572,0,0.5,2.02866,-0.00138822,0.00149918,0.497029,0.497029
2.03016,-0.000782229,0,0.5,2.02862,-0.0014574,0.00153708,0.498566,0.498566
2.03016,-0.000783561,0,0.5,2.02859,-0.00153154,0.00157142,0.500138,0.500138
2.03016,-0.000784692,0,0.5,2.02856,-0.00160983,0.00160241,0.50174,0.50174
2.03016,-0.000786073,0,0.5,2.02853,-0.0016913,0.00162959,0.50337,0.50337
2.03016,-0.000786772,0,0.5,2.0285,-0.00177564,0.00165343,0.505023,0.505023
2.03016,-0.000788427,0,0.5,2.02848,-0.00186256,0.00167298,0.506696,0.506696
2.03016,-0.000789632,0,0.5,2.02847,-0.00195264,0.00169015,0.508386,0.508386
2.03016,-0.000790614,0,0.5,2.02845,-0.00204282,0.00170326,0.510089,0.510089
2.03016,-0.000791871,0,0.5,2.02844,-0.00213639,0.00171375,0.511803,0.511803
2.03016,-0.000792903,0,0.5,2.02843,-0.00223022,0.00172114,0.513524,0.513524
2.03016,-0.000795826,0,0,2.02843,-0.00231675,0.00172496,0.515249,0.515249
2.03016,-0.000798291,0,0,2.02843,-0.00236841,0.00172615,0.00172615,0.516975
2.03016,-0.000800901,0,0,2.02843,-0.00238095,0.00172663,0.00345278,0.518702
2.03016,-0.000801305,0,0,2.02843,-0.0023811,0.00172663,0.00517941,0.520429
2.03016,-0.000801527,0,0,2.02843,-0.00238132,0.00172663,0.00690603,0.522155
2.03016,-0.000801622,0,0,2.02843,-0.00238149,0.00172663,0.00863266,0.523882
2.03016,-0.000801803,0,0,2.02843,-0.00238167,0.00172663,0.0103593,0.525608
2.03016,-0.000802058,0,0,2.02843,-0.00238185,0.00172663,0.0120859,0.527335
2.03016,-0.000802206,0,0,2.02843,-0.00238203,0.00172663,0.0138125,0.529062
2.03016,-0.000802422,0,0,2.02843,-0.00238221,0.00172663,0.0155392,0.530788
2.03016,-0.000802497,0.5,0,2.02847,-0.000275126,0.00168633,0.0172255,0.532475
2.03034,0.00866213,0.5,0,2.02869,0.0111404,0.00163364,0.0188591,0.534108
2.03061,0.0228125,0.5,0,2.02911,0.0325519,0.00136924,0.0202284,0.535478
2.03112,0.0495702,0.5,0,2.02971,0.0640349,0.0010016,0.02123,0.536479
2.03197,0.0949204,0.5,0,2.03051,0.105527,0.000941992,0.022172,0.537421
2.03288,0.142955,0.5,0,2.03145,0.154896,0.000549793,0.0227218,0.537971
2.03401,0.20296,0.5,0,2.03241,0.204878,0.00140142,0.0241232,0.539372
2.03458,0.232953,0.5,0,2.03337,0.254868,0.00140882,0.025532,0.540781
2.03571,0.292943,0.5,0,2.03433,0.304859,0.00036335,0.0258954,0.541145
2.03647,0.332935,0.5,0,2.0353,0.355349,0.00258231,0.0284777,0.543727
2.03779,0.402923,0.5,0,2.03625,0.40484,0.00114012,0.0296178,0.544867
2.03854,0.442915,0.5,0,2.03721,0.454831,0.00125575,0.0308735,0.546123
2.0393,0.482908,0.5,0,2.03817,0.505322,0.00418544,0.035059,0.550308
2.04043,0.542897,0.5,0,2.03912,0.554812,0.00183153,0.0368905,0.55214
2.04157,0.602886,0.5,0,2.04009,0.605303,0.000727415,0.0376179,0.552867
2.04213,0.632881,0.5,0,2.04104,0.654794,0.00554991,0.0431678,0.558417
2.04345,0.702868,0.5,0,2.04201,0.705285,0.000578165,0.043746,0.558995
2.04383,0.722865,0.5,0,2.04296,0.754775,0.0100291,0.0537751,0.569024
2.04496,0.782854,0.5,0,2.04393,0.805266,0.00714731,0.0609224,0.576172
2.0461,0.842843,0.5,0,2.04488,0.854757,0.00343847,0.0643609,0.57961
2.04685,0.882836,0.5,0,2.04584,0.904748,0.00783801,0.0721989,0.587448
2.0478,0.932827,0.5,0,2.0468,0.955238,0.00848246,0.0806813,0.595931
2.04893,0.992816,0.5,0,2.04775,1.00473,0.00416374,0.0848451,0.600094
2.0495,1.02281,0.5,0,2.04871,1.05472,0.0137281,0.0985732,0.613822
2.05082,1.0928,0.5,0,2.04967,1.10471,0.00461602,0.103189,0.618438
