x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00172784,-3.42723e-08,0.07575,0,0.00284499,-9.11019e-08,0.00111715,0.00111715,0.00111715
0.00172784,-3.42723e-08,0.07575,0,0.00284499,-9.11019e-08,0.00111715,0.0022343,0.0022343
0.0106369,-6.67564e-07,0.1485,0,0.0131456,-9.33765e-07,0.00250874,0.00474304,0.00474304
0.0229812,-2.17802e-06,0.22275,0,0.0307372,-3.40646e-06,0.00775598,0.012499,0.012499
0.050456,-7.27092e-06,0.2985,0,0.0560905,-8.54048e-06,0.00563441,0.0181334,0.0181334
0.0816109,-1.51507e-05,0.3735,0,0.0883866,-1.70884e-05,0.00677577,0.0249092,0.0249092
0.111915,-2.44963e-05,0.447,0,0.128391,-3.01301e-05,0.0164767,0.0413859,0.0413859
0.166238,-4.46142e-05,0.522,0,0.176342,-4.87315e-05,0.010104,0.0514899,0.0514899
0.20836,-6.27787e-05,0.59625,0,0.231247,-7.34115e-05,0.0228869,0.0743768,0.0743768
0.255313,-8.53668e-05,0.6705,0,0.293637,-0.000105348,0.0383236,0.1127,0.1127
0.34891,-0.000136824,0.74475,0,0.362753,-0.00014498,0.0138433,0.126544,0.126544
0.409016,-0.00017396,0.8205,0,0.44004,-0.000194096,0.0310233,0.157567,0.157567
0.508127,-0.000241391,0.89325,0,0.5248,-0.000253234,0.0166727,0.17424,0.17424
0.58001,-0.000294623,0.96675,0,0.617667,-0.000323581,0.0376574,0.211897,0.211897
0.696285,-0.000387617,1.0005,0,0.71529,-0.000403133,0.019005,0.230902,0.230902
0.796295,-0.00047054,1.0005,0,0.816302,-0.000486866,0.020007,0.250909,0.250909
0.876296,-0.000536848,1.0005,0,0.915302,-0.000568911,0.0390064,0.289915,0.289915
0.956295,-0.00060315,1.0005,0,1.0153,-0.000651776,0.059007,0.348922,0.348922
1.09629,-0.000719169,1.0005,0,1.1163,-0.000735465,0.0200082,0.368931,0.368931
1.17629,-0.000785461,1.0005,0,1.2163,-0.000818321,0.0400089,0.40894,0.40894
1.27629,-0.000868321,1.0005,0,1.3163,-0.000901172,0.04001,0.44895,0.44895
1.35629,-0.000934605,0.966,0,1.41488,-0.000982672,0.0585883,0.507538,0.507538
1.4915,-0.00104336,0.89175,0,1.50876,-0.00105617,0.0172682,0.524806,0.524806
1.54507,-0.00108322,0.81825,0,1.59519,-0.00111843,0.0501276,0.574934,0.574934
1.64433,-0.00115166,0.744,0,1.67432,-0.00117066,0.0299851,0.604919,0.604919
1.73309,-0.0012064,0.67425,0,1.74622,-0.00121377,0.0131279,0.618047,0.618047
1.79917,-0.00124281,0.6,0,1.8109,-0.00124868,0.0117248,0.629771,0.629771
1.84666,-0.00126631,0.52425,0,1.86808,-0.00127597,0.0214267,0.651198,0.651198
1.90892,-0.00129329,0.44925,0,1.91779,-0.00129662,0.00887132,0.660069,0.660069
1.95254,-0.00130919,0.37725,0,1.96003,-0.00131153,0.00748563,0.667555,0.667555
1.98904,-0.00132032,0.30525,0,1.99519,-0.00132187,0.00614178,0.673697,0.673697
2.01827,-0.00132748,0.22725,0,2.02441,-0.00132865,0.00614619,0.679843,0.679843
2.03629,-0.00133088,0.159,0,2.04342,-0.00133189,0.00712824,0.686971,0.686971
2.05664,-0.00133346,0.08325,0,2.05665,-0.00133338,1.26362e-05,0.686984,0.686984
2.06157,-0.00133374,0,0,2.0619,-0.00133368,0.000333071,0.687317,0.687317
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.66893e-05,0.687334,0.687334
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.33514e-05,0.687347,0.687347
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.21593e-05,0.687359,0.687359
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.21593e-05,0.687371,0.687371
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.21593e-05,0.687384,0.687384
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.19209e-05,0.687395,0.687395
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.19209e-05,0.687407,0.687407
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.19209e-05,0.687419,0.687419
2.06194,-0.00133374,0,0,2.06196,-0.00133368,1.19209e-05,0.687431,0.687431
2.06194,-0.00133374,0,0,2.06196,-0.00133367,1.19209e-05,0.687443,0.687443
2.06194,-0.00133374,0,0,2.06196,-0.00133367,1.19209e-05,0.687455,0.687455
2.06194,-0.00133374,0,0,2.06196,-0.00133367,1.21593e-05,0.687467,0.687467
2.06194,-0.00133374,0,0,2.06196,-0.00133367,1.21593e-05,0.687479,0.687479
2.06194,-0.00133374,0,0,2.06196,-0.00133367,1.21593e-05,0.687492,0.687492
2.06194,-0.00133374,0,0.5,2.06196,-0.00133357,1.16825e-05,0.687503,0.687503
2.06195,-0.00133373,0,0.5,2.06193,-0.00133369,1.35899e-05,0.687517,0.687517
2.06196,-0.00133331,0,0.5,2.06189,-0.00133418,7.34329e-05,0.68759,0.68759
2.062,-0.00133116,0,0.5,2.06185,-0.00133402,0.000150442,0.687741,0.687741
2.06207,-0.00132347,0,0.5,2.0618,-0.00133368,0.00026536,0.688006,0.688006
2.06209,-0.00131927,0,0.5,2.06174,-0.00133619,0.000351429,0.688357,0.688357
2.06211,-0.00131543,0,0.5,2.06167,-0.00134269,0.000444412,0.688802,0.688802
2.06212,-0.00131343,0,0.5,2.06158,-0.0013533,0.000534296,0.689336,0.689336
2.06212,-0.00131175,0,0.5,2.0615,-0.00136746,0.000622749,0.689959,0.689959
2.06213,-0.0013112,0,0.5,2.06142,-0.00138549,0.000708103,0.690667,0.690667
2.06213,-0.00131113,0,0.5,2.06134,-0.00140721,0.000791311,0.691458,0.691458
2.06213,-0.00131145,0,0.5,2.06125,-0.00143297,0.000872135,0.69233,0.69233
2.06212,-0.00131186,0,0.5,2.06118,-0.00146204,0.000948906,0.693279,0.693279
2.06212,-0.00131267,0,0.5,2.0611,-0.00149535,0.00102305,0.694302,0.694302
2.06212,-0.00131346,0,0.5,2.06103,-0.00153313,0.0010941,0.695397,0.695397
2.06212,-0.00131434,0,0.5,2.06096,-0.00157428,0.00116086,0.696557,0.696557
2.06212,-0.00131527,0,0.5,2.0609,-0.00162005,0.00122404,0.697781,0.697781
2.06212,-0.00131605,0,0.5,2.06083,-0.0016706,0.0012846,0.699066,0.699066
2.06212,-0.00131685,0,0.5,2.06078,-0.00172437,0.00133967,0.700406,0.700406
2.06212,-0.0013183,0,0.5,2.06073,-0.00178289,0.00139093,0.701797,0.701797
2.06212,-0.00131915,0,0.5,2.06068,-0.00184554,0.00143886,0.703236,0.703236
2.06212,-0.00132043,0,0.5,2.06063,-0.00191291,0.00148249,0.704718,0.704718
2.06212,-0.00132119,0,0.5,2.06059,-0.00198277,0.00152206,0.70624,0.70624
2.06211,-0.00132226,0,0.5,2.06056,-0.00205776,0.00155783,0.707798,0.707798
2.06211,-0.0013238,0,0.5,2.06052,-0.00213469,0.00158906,0.709387,0.709387
2.06211,-0.0013247,0,0.5,2.0605,-0.00221558,0.00161695,0.711004,0.711004
2.06211,-0.00132585,0,0.5,2.06047,-0.00229942,0.00164127,0.712645,0.712645
2.06211,-0.00132725,0,0.5,2.06045,-0.00238589,0.00166202,0.714307,0.714307
2.06211,-0.00132845,0,0.5,2.06043,-0.00247468,0.00167918,0.715986,0.715986
2.06211,-0.00132968,0,0.5,2.06042,-0.00256546,0.00169325,0.71768,0.71768
2.06211,-0.00133069,0,0.5,2.06041,-0.00265785,0.00170422,0.719384,0.719384
2.06211,-0.00133224,0,0.5,2.0604,-0.00275149,0.00171208,0.721096,0.721096
2.06211,-0.00133369,0,0,2.06039,-0.00284495,0.00171685,0.722813,0.722813
2.06211,-0.00133627,0,0,2.06039,-0.00291145,0.00171804,0.00171804,0.724531
2.06211,-0.00133854,0,0,2.06039,-0.00293825,0.00171852,0.00343657,0.726249
2.06211,-0.00134069,0,0,2.06039,-0.00293922,0.00171852,0.00515509,0.727968
2.06211,-0.00134084,0,0,2.06039,-0.0029394,0.00171852,0.00687361,0.729686
2.06211,-0.00134103,0,0,2.06039,-0.00293957,0.00171852,0.00859213,0.731405
2.06211,-0.00134115,0,0,2.06039,-0.00293974,0.00171852,0.0103106,0.733123
2.06211,-0.00134136,0,0,2.06039,-0.00293993,0.00171852,0.0120292,0.734842
2.06211,-0.00134157,0,0,2.06039,-0.0029401,0.00171852,0.0137477,0.73656
2.06211,-0.00134175,0,0,2.06039,-0.00294027,0.00171852,0.0154662,0.738279
2.06211,-0.00134189,0.021,0,2.06039,-0.00282138,0.00171781,0.017184,0.739997
2.06213,0.000768468,0.09075,0,2.06044,0.0018006,0.00169325,0.0188773,0.74169
2.06222,0.00970954,0.16575,0,2.06055,0.0136064,0.00164104,0.0205183,0.743331
2.06234,0.0222085,0.2385,0,2.06074,0.0329136,0.00145292,0.0219712,0.744784
2.06264,0.0555985,0.312,0,2.061,0.0605756,0.00150156,0.0234728,0.746286
2.06287,0.0809227,0.384,0,2.0613,0.0936846,0.00102139,0.0244942,0.747307
2.06321,0.119127,0.4575,0,2.06168,0.134407,0.00058651,0.0250807,0.747893
2.06371,0.174661,0.5325,0,2.06214,0.182852,0.000862837,0.0259435,0.748756
2.06411,0.217719,0.603,0,2.06267,0.238843,0.000891447,0.026835,0.749648
2.06478,0.290995,0.67425,0,2.06327,0.302589,0.000157595,0.0269926,0.749805
2.06542,0.359607,0.74025,0,2.06394,0.371764,0.000661373,0.0276539,0.750467
2.06597,0.419288,0.8145,0,2.06467,0.448487,0.00473237,0.0323863,0.755199
2.0669,0.517717,0.88575,0,2.06549,0.532647,0.00231528,0.0347016,0.757514
2.06774,0.60767,0.9615,0,2.06638,0.624001,0.00335503,0.0380566,0.760869
2.06867,0.704766,1.0005,0,2.06734,0.722157,0.00442004,0.0424767,0.765289
2.06962,0.804767,1.0005,0,2.06833,0.822171,0.00516343,0.0476401,0.770453
2.07057,0.904764,1.0005,0,2.06932,0.923167,0.00628519,0.0539253,0.776738
2.07133,0.98476,1.0005,0,2.07029,1.02216,0.0153699,0.0692952,0.792108
2.07248,1.10475,1.0005,0,2.07127,1.12216,0.00717711,0.0764723,0.799285
2.07324,1.18475,1.0005,0,2.07225,1.22215,0.0179281,0.0944004,0.817213
2.07419,1.28474,1.0005,0,2.07324,1.32215,0.0190959,0.113496,0.836309
2.07533,1.40442,0.9555,0,2.07421,1.42131,0.00858259,0.122079,0.844892
2.07588,1.46183,0.87975,0,2.07512,1.51406,0.0298111,0.15189,0.874703
2.07704,1.58527,0.8055,0,2.07594,1.59929,0.00766182,0.159552,0.882365
2.07764,1.64924,0.7365,0,2.0767,1.67728,0.0167921,0.176344,0.899157
2.07846,1.73685,0.66,0,2.07739,1.74948,0.00729871,0.183643,0.906455
2.07917,1.81369,0.58425,0,2.078,1.81389,0.000751495,0.184394,0.907207
2.07958,1.85925,0.516,0,2.07851,1.86781,0.00491261,0.189307,0.91212
2.07996,1.90015,0.44475,0,2.07897,1.91687,0.0105762,0.199883,0.922696
2.08029,1.93648,0.375,0,2.07937,1.95875,0.0145447,0.214428,0.93724
2.08076,1.98913,0.30825,0,2.07965,1.98916,0.000779152,0.215207,0.93802
2.08098,2.01327,0.23325,0,2.07995,2.02175,0.00516033,0.220367,0.94318
